url,title,mileage_listed,list_price_displayed,dealer_info
https://www.truecar.com/used-cars-for-sale/listing/NM0KS9CN9DT153976/2013-ford-transit-connect-wagon/?position=19&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2013FordTransit Connect Wagon XLT Premium,"105,172miles","$6,975",IMotoBank
https://www.truecar.com/used-cars-for-sale/listing/KNDCE3LG2N5140568/2022-kia-niro-ev/?position=20&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2022KiaNiro EV EX Premium,"36,084miles","$16,800",Nucar Hyundai Norwood EV EV
https://www.truecar.com/used-cars-for-sale/listing/2HGFB2F58CH608305/2012-honda-civic/?position=21&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2012HondaCivic LX Sedan Automatic,"113,839miles","$7,995",John's Auto Sales Somerville
https://www.truecar.com/used-cars-for-sale/listing/KNDCE3LG7N5131476/2022-kia-niro-ev/?position=22&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2022KiaNiro EV EX Premium,"24,145miles","$16,900",Nucar Chevrolet Norwood EV EV
https://www.truecar.com/used-cars-for-sale/listing/YV140MEL7J2392342/2018-volvo-v60/?position=23&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2018VolvoV60 T5 FWD Dynamic,"89,180miles","$14,995",Bespoke Auto
https://www.truecar.com/used-cars-for-sale/listing/JF2SJGMCXEH551985/2014-subaru-forester/?position=24&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2014SubaruForester 2.0XT Touring Auto,"135,632miles","$8,995",John's Auto Sales Somerville
https://www.truecar.com/used-cars-for-sale/listing/1C4PJMDX7MD174978/2021-jeep-cherokee/?position=25&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2021JeepCherokee Limited 4WD,"107,626miles","$16,995",John's Auto Sales Somerville
https://www.truecar.com/used-cars-for-sale/listing/1FTEX1EMXEKG01902/2014-ford-f-150/?position=26&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2014FordF-150 STX SuperCab 6.5' Box 4WD,"107,060miles","$13,850",Prestige Motors of Malden
https://www.truecar.com/used-cars-for-sale/listing/3LN6L2J92GR630084/2016-lincoln-mkz/?position=27&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2016LincolnMKZ AWD,"95,752miles","$9,900",Gervais Volkswagen of Lowell
https://www.truecar.com/used-cars-for-sale/listing/1G1RC6S50HU119495/2017-chevrolet-volt/?position=28&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2017ChevroletVolt LT,"63,172miles","$11,795",John's Auto Sales Somerville PHEV PHEV
