sales_price,price_tier,year,vehicle_age,make,model,trim,odometer_miles,fuel_type,exterior,interior,dealer_state,dealer_distance_miles,source_metro,feature_count,standard_feature_count
18000.0,below_market,2018,8,Acura,ILX,with Premium Package,60784,Gas,Crystal Black Pearl,Ebony,MA,26.0,boston_ma,0,0
25499.0,near_market,2022,4,Acura,ILX,Sedan w/Premium/A-SPEC Package,26314,Gas,Platinum White Pearl,Red,MA,12.0,boston_ma,0,0
35399.0,near_market,2025,1,Acura,Integra,A-Spec Technology Package CVT,4617,Gas,Platinum White Pearl,Ebony,CA,2688.0,san-francisco_ca,0,0
34680.0,near_market,2025,1,Acura,Integra,A-Spec Technology Package CVT,2551,Gas,Platinum White Pearl,Ebony,CA,2678.0,san-francisco_ca,0,0
28883.0,near_market,2023,3,Acura,Integra,CVT w/A-Spec Technology Package,41138,Gas,Platinum White Pearl,Red,TX,1691.0,austin_tx,0,0
31895.0,near_market,2023,3,Acura,Integra,CVT w/A-Spec Technology Package,19926,Gas,Lunar Silver Metallic,Ebony,MI,604.0,detroit_mi,0,0
5491.0,below_market,2003,23,Acura,TL,3.2L,135052,Gas,Satin Silver,Black,MA,36.0,boston_ma,0,0
4995.0,below_market,2006,20,Acura,TL,Automatic,170502,Gas,Black,Beige,IL,855.0,chicago_il,0,0
7477.0,below_market,2008,18,Acura,TL,Automatic,146760,Gas,White,Black,WA,2477.0,seattle_wa,0,0
8977.0,below_market,2012,14,Acura,TL,FWD Automatic,118770,Gas,Basque Red Pearl,Unknown,WA,2477.0,seattle_wa,0,0
11888.0,below_market,2013,13,Acura,TL,FWD Automatic with Technology Package,80349,Gas,Bellanova White Pearl,Tan,GA,919.0,atlanta_ga,0,0
7995.0,below_market,2010,16,Acura,TL,FWD with Technology Package,156441,Gas,Black,Black,TX,1686.0,austin_tx,0,0
14997.0,near_market,2017,9,Acura,TLX,I4 FWD with Technology Package,107544,Gas,Crystal Black Pearl,Charcoal,MI,609.0,detroit_mi,0,0
24998.0,near_market,2020,6,Acura,TLX,2.4L FWD with Technology Package,29809,Gas,Platinum White Pearl,Black,CA,0.0,san-francisco_ca,0,0
19987.0,below_market,2017,9,Acura,TLX,I4 FWD with Technology Package,47699,Gas,Lunar Silver Metallic,Graystone,NH,28.0,boston_ma,0,0
22373.0,below_market,2020,6,Acura,TLX,3.5L FWD with Technology Package,81837,Gas,Majestic Black Pearl,Ebony,CA,2693.0,san-francisco_ca,0,0
14420.0,near_market,2015,11,Acura,TLX,V6 FWD with Advance Package,125695,Gas,Bellanova White Pearl,Ebony,TX,1699.0,austin_tx,0,0
20477.0,below_market,2015,11,Acura,TLX,V6 SH-AWD with Technology Package,33888,Gas,Bellanova White Pearl,Ebony,MA,7.0,boston_ma,0,0
37499.0,near_market,2024,2,Acura,TLX,FWD with Technology Package,1698,Gas,Platinum White Pearl,Orchid,MA,12.0,boston_ma,0,0
29782.0,below_market,2022,4,Acura,TLX,Technology Package FWD,25556,Gas,Lunar Silver Metallic,Ebony,IL,847.0,chicago_il,0,0
31712.0,near_market,2022,4,Acura,TLX,A-Spec Package FWD,40488,Gas,Platinum White Pearl,Red,TX,1691.0,austin_tx,0,0
9974.0,below_market,2010,16,Honda,Civic,LX Sedan Automatic,81696,Gas,Alabaster Silver Metallic,Gray,WA,2475.0,seattle_wa,0,0
12700.0,near_market,2014,12,Honda,Civic,LX Sedan CVT,77536,Gas,Dyno Blue Pearl,Gray,MA,1.0,boston_ma,0,0
14998.0,near_market,2014,12,Honda,Civic,LX Sedan CVT,78405,Gas,Alabaster Silver Metallic,Gray,CA,0.0,san-francisco_ca,0,0
11995.0,below_market,2013,13,Honda,Civic,LX Sedan Automatic,71142,Gas,Polished Metal Metallic,Black,IL,862.0,chicago_il,0,0
9997.0,below_market,2014,12,Honda,Civic,LX Sedan CVT,103167,Gas,Alabaster Silver Metallic,Gray,GA,919.0,atlanta_ga,0,0
11487.0,below_market,2015,11,Honda,Civic,LX Sedan CVT,109233,Gas,Taffeta White,Lx,CA,2648.0,san-francisco_ca,0,0
9989.0,below_market,2015,11,Honda,Civic,EX Sedan CVT,132150,Gas,Burgundy,Tan,CA,2677.0,san-francisco_ca,0,0
13998.0,near_market,2014,12,Honda,Civic,EX Sedan CVT,88183,Gas,Red,Beige,TX,1699.0,austin_tx,0,0
8995.0,below_market,2015,11,Honda,Civic,EX Sedan CVT,169421,Gas,Grey,Gray,MI,621.0,detroit_mi,0,0
12995.0,below_market,2016,10,Honda,Civic,EX-L Sedan CVT,116209,Gas,White Orchid Pearl,Ivory,MI,620.0,detroit_mi,0,0
18883.0,below_market,2019,7,Honda,Civic,EX-L Sedan CVT,59574,Gas,Platinum White Pearl,Black,WA,2482.0,seattle_wa,0,0
13999.0,below_market,2016,10,Honda,Civic,LX Sedan CVT,64601,Gas,Crystal Black Pearl,Gray,GA,941.0,atlanta_ga,0,0
18575.0,near_market,2020,6,Honda,Civic,LX Sedan CVT,37561,Gas,Rallye Red,Unknown,MI,644.0,detroit_mi,0,0
19612.0,near_market,2019,7,Honda,Civic,LX Sedan CVT,25941,Gas,Platinum White Pearl,Black,IL,848.0,chicago_il,0,0
17495.0,near_market,2020,6,Honda,Civic,LX Sedan CVT,64944,Gas,Crystal Black Pearl,Black,MA,5.0,boston_ma,0,0
18977.0,,2019,7,Honda,Civic,LX Sedan CVT,44127,Gas,Crystal Black Pearl,Gray,TX,0.0,austin_tx,0,0
15998.0,below_market,2016,10,Honda,Civic,EX Sedan CVT,92722,Gas,Gray,Black,WA,0.0,seattle_wa,0,0
15698.0,below_market,2017,9,Honda,Civic,EX Sedan CVT,76515,Gas,Unknown,Unknown,TX,1704.0,austin_tx,0,0
22998.0,near_market,2020,6,Honda,Civic,Sport Sedan CVT,28556,Gas,Lunar Silver Metallic,Black,CA,0.0,san-francisco_ca,0,0
21650.0,below_market,2022,4,Honda,Civic,EX-L Hatchback CVT,55640,Gas,Lunar Silver Metallic,Black,GA,920.0,atlanta_ga,0,0
25977.0,near_market,2024,2,Honda,Civic,EX-L Hatchback CVT,20901,Gas,Rallye Red,Black,MA,9.0,boston_ma,0,0
26199.0,near_market,2024,2,Honda,Civic,EX-L Hatchback CVT,25043,Gas,Crystal Black Pearl,Black,MI,627.0,detroit_mi,0,0
28998.0,near_market,2024,2,Honda,Civic,EX-L Hatchback CVT,3177,Gas,Crystal Black Pearl,Black,IL,0.0,chicago_il,0,0
25792.0,near_market,2022,4,Honda,Civic,EX-L Hatchback CVT,11429,Gas,Crystal Black Pearl,Black,TX,1693.0,austin_tx,0,0
26999.0,near_market,2022,4,Honda,Civic,Sport Touring Hatchback CVT,36754,Gas,Morning Mist Metallic,Black,WA,2475.0,seattle_wa,0,0
